position,link,title,source,date,snippet,thumbnail
50,https://www.ctvnews.ca/world/trumps-tariffs/article/trump-announces-25-tariff-on-all-cars-not-made-in-us/,Trump announces 25 per cent tariff on all auto imports to the U.S.,CTV News,"Mar 26, 2025",US President Donald Trump on Wednesday signed an executive order to impose 25 per cent tariffs on all automobile imports to the United States next week.,https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2ea798fd35393a85b8a9b49056605875f2e3544fb52d87a9ccf.jpeg
51,https://www.bbc.co.uk/news/articles/c62z157jvd8o,EU delays plans to hit back at US President Donald Trump's tariffs,BBC,"Mar 20, 2025","The trading bloc was set to impose duties on US products, including a 50% levy on whiskey, from 1 April to which Trump then responded with a 200% alcohol tariff...",https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2ea96f095e9ccbc87e2e642a51f58bf03cdf1d2f8f3a42ae60b.jpeg
52,https://www.cbc.ca/player/play/video/9.6672581,"Trump's tariff war, Canada's counter-tariffs",CBC,"Mar 7, 2025","Trump's tariff war, Canada's counter-tariffs ... U.S. President Donald Trump launched a trade war against Canada and Mexico, taxing imports from those countries...",https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2ea4dd4894714d93cd13af398a5f9491502c1188a2d84d66107.jpeg
53,https://www.aol.com/news/why-tech-stocks-getting-hammered-165529496.html,Why tech stocks are getting hammered ahead of Trump's tariff deadline,AOL.com,"Mar 31, 2025","Investors are fleeing technology stocks ahead of President Trump's tariff deadline on Wednesday. The Nasdaq 100 is down 7% in just four trading days,...",https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2ea95202fa955c17b5e913883d42ed60cf1f3372c017e8e7b6d.jpeg
54,https://ca.news.yahoo.com/anywhere-u-businesses-shift-local-230907976.html,'Anywhere but the U.S.': Businesses shift local amid tariff turmoil,Yahoo.co,"Mar 8, 2025","In response to tariffs, Curran said, “everything is being revisited in the supply chain, switching to a Canadian supplier … or if a Canadian supplier is...",https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2ea1554a8c8d018ca69361ea653eb97280a2425c588625689f3.jpeg
55,https://www.cbc.ca/player/play/video/9.6708108,Democrats launch tariff fight ahead of ‘Liberation Day’,CBC,"Apr 1, 2025","Democrats launch tariff fight ahead of 'Liberation Day' ... As the world waits for details of U.S. President Donald Trump's global reciprocal tariffs, set to take...",https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2eab566a97b49d2e12662b317e7cc4b2b11c4ed18ba29664793.jpeg
56,https://www.aol.com/news/tariffs-worth-even-cause-recession-055409119.html,"Tariffs are ‘worth it’ even if they cause a recession, claims Commerce secretary",AOL.com,"Mar 12, 2025","Tariffs are 'worth it' even if they cause a recession, claims Commerce secretary ... Commerce Secretary Howard Lutnick enthusiastically defended Donald Trump's...",https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2ea9016c2215e0ac53c56f6b81b9c610592fe48bbe1f88517b9.jpeg
57,https://www.abc.net.au/news/2025-03-12/trump-rejects-australia-s-bid-for-tariff-exemptions/105039966,Trump rejects Australia's bid for tariff exemptions,Australian Broadcasting Corporation,"Mar 11, 2025","In short: Australia's efforts to secure an exemption from US tariffs on aluminium and steel have failed, the White House has confirmed on the eve of the tariffs...",https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2ea0e880faefc707da19eeba2c54f0388de671d506d85a1b305.jpeg
58,https://www.hindustantimes.com/world-news/china-announces-2-6-billion-worth-tariffs-on-canadian-farm-food-products-101741410431198.html,"China announces $2.6 billion worth tariffs on Canadian farm, food products | World News - Hindustan Times",Hindustan Times,"Mar 8, 2025","China announced tariffs on over $2.6 billion worth of Canadian agricultural and food products on Saturday, retaliating against levies Ottawa introduced in...",https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2eae075a8a97a8d38b7f179e6d092465cb6e3ab377883b136d3.jpeg
59,https://www.cbc.ca/player/play/video/9.6669718,Seafood sector braces for Trump tariff impact,CBC,"Mar 3, 2025",Nicola Seguin has been gauging the potential impact on the seafood industry that's critical to many livelihoods here in Nova Scotia.,https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2ea3fcadea9f60192c867259eb5fa3b370a1d86922c6d766195.jpeg
60,https://www.rnz.co.nz/news/top/543871/tariff-wars-trade-minister-plans-to-make-the-case-on-relationship-with-us-counterparts,Tariff wars: Trade minister plans to 'make the case' on relationship with US counterparts,RNZ,"Mar 6, 2025",Tariff wars: Trade minister plans to 'make the case' on relationship with US counterparts ... Potential tariffs on New Zealand agricultural exports to the United...,https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2eac9c8f31e20c8109c027a4449be3327833e8fbe3ee967176e.jpeg
61,https://www.cbc.ca/player/play/video/9.6676595,What does the U.S. tariff pause mean for Alberta's counter measures?,CBC,"Mar 7, 2025","What does the U.S. tariff pause mean for Alberta's counter measures? ... Soon after Alberta announced countermeasures to U.S. tariffs, President Donald Trump put...",https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2ea69b2d1dc61fa364140f3d7266a86fdffbf8e6d8b395f62e3.jpeg
62,https://www.cbc.ca/player/play/video/9.6671645,What history can teach us about the Trump tariffs,CBC,"Mar 4, 2025",U.S. President Donald Trump moved ahead this week with tariffs on Canadian goods and one political expert says he believes Canadians are in for a fight. Robert...,https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2ea7b6bc7ed83048467460ea303063fe4623f496dab22cab4fd.jpeg
63,https://www.cbc.ca/player/play/video/9.6707179,How the tariff war will impact local bookstores,CBC,"Apr 1, 2025","How the tariff war will impact local bookstores ... Peter Garden, owner of Turning the Tide bookstore in Saskatoon, says tariffs on books printed in the United...",https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2eadf49a46da8a50d1b42b3260ca87d4e61530ad4613cf1525a.jpeg
64,https://www.hindustantimes.com/videos/cam-modi-govt-sets-record-straight-as-trump-s-tariff-war-escalates-mea-responds-with-tough-stance-101741363761843.html,Cam: Modi Govt Sets Record Straight as Trump’s Tariff War Escalates | MEA Responds with Tough Stance,Hindustan Times,"Mar 7, 2025","The Indian government has taken a firm stance in response to U.S. President Donald Trump's announcement of reciprocal tariffs, set to begin on April 2.",https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2eadaae584abd00d492ae1cff2202dbae54c8a852d8eb15b467.jpeg
65,https://www.hindustantimes.com/india-news/trump-says-india-agreed-to-cut-massive-tariffs-somebody-is-finally-exposing-them-101741369617343.html,Trump claims India has agreed to cut tariffs: ‘Somebody is finally exposing them’,Hindustan Times,"Mar 8, 2025",US President Donald Trump on Friday said that India has agreed to cut tariffs significantly because he is finally exposing New Delhi for imposing 'massive...,https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2eac4870bb7566ee4f2bfc76e477a10001c355494cfa743155b.jpeg
66,https://www.hindustantimes.com/india-news/commerce-minister-piyush-goyal-leaves-for-sudden-us-visit-as-trump-tariffs-loom-101740983299702.html,Commerce minister Piyush Goyal leaves for sudden US visit as Trump tariffs loom,Hindustan Times,"Mar 3, 2025","Commerce minister Piyush Goyal made a sudden departure for the United States on Monday, reportedly to hold urgent trade discussions, just weeks before President...",https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2eac4e4c6a42eccd9f1d1353e5fce77c29f342002773e3bcda2.jpeg
67,https://www.hindustantimes.com/india-news/cong-slams-pm-modi-on-donald-trumps-reciprocal-tariff-only-interested-in-tareef-101741345286759.html,Cong slams PM Modi on Donald Trump's reciprocal tariff: ‘Only interested in tareef’,Hindustan Times,"Mar 7, 2025","In an interview with PTI, the Congress leader said that the party will raise the issue of US President Donald Trump's reciprocal tariff threats during the...",https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2ea531716ea94fcb2d0a8b897e4b410c3c7b77d204cd5e30463.jpeg
68,https://www.louisianafirstnews.com/news/national-news/how-to-shop-amid-tariff-uncertainty/?ipid=promo-link-block1,How to shop amid tariff uncertainty,Louisiana First News,"Mar 16, 2025","(NerdWallet) – As President Donald Trump enacts his tariff plans, you may be wondering if you can expect higher prices when you shop.",https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2eae2761f85f9009faa1ff8bbbd6b48b46b1b6e9e4b43b363e9.jpeg
69,https://www.princeedwardisland.ca/en/news/cabinet-committee-on-trade-relations-announces-provinces-tariff-response-plan-to-support,Cabinet Committee on Trade Relations announces province’s Tariff Response Plan to support Island businesses,Government of Prince Edward Island,"Mar 4, 2025","The Tariff Response Plan includes immediate and targeted measures to help businesses adapt, maintain operations, and explore new trade opportunities. The first...",https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2ea9b7cfd96b4273f9435afdf366cb8455554fcad6bd2c23a2d.jpeg
70,https://www.cbc.ca/player/play/video/9.6671482,How will aluminum tariffs impact U.S. consumers?,CBC,"Mar 4, 2025",How will aluminum tariffs impact U.S. consumers? ... The impact of U.S. President Donald Trump's tariffs will increase the cost of buying aluminum for American...,https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2eab1dadb8b480842e4caff17be5b7f9b8fe1732d3f0bfd83e1.jpeg
71,https://www.bbc.co.uk/news/live/cn7vd4l5d75t,Will tariffs make the US money? And could Canada join the EU?,BBC,"Mar 5, 2025","Since Donald Trump's return to the White House, new taxes - called tariffs - have come into effect on goods coming into the United States from other countries.",https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2ea9288139fd8d8535e1097be4bbf47dc43167afacb1841fed4.jpeg
72,https://decrypt.co/news-explorer?pinned=943390&title=trump-tariff-fears-slam-bitcoin-dogecoin-and-xrp-alongside-stocks,"News Explorer — Trump Tariff Fears Slam Bitcoin, Dogecoin and XRP Alongside Stocks",Decrypt,"Mar 3, 2025","Following President Trump's announcement of a planned U.S. crypto reserve, Bitcoin, Ethereum, Solana, XRP, and Cardano have all experienced significant...",https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2ea19cd0007ed2d6ec6b6bcc495017506c666434d9124a543ee.jpeg
73,https://www.afr.com/policy/economy/trump-s-tariff-puts-australia-in-hard-place-between-iron-ore-and-china-20250217-p5lcw3,Business Summit 2025: Donald Trump’s tariff puts Australia in hard place between iron ore and China,AFR,"Mar 3, 2025","Trump's tariff puts Australia in hard place between iron ore and China. If Australia wants to negotiate an exemption to US tariffs, it will need to convince the...",https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2eab98790a248e9eddc2167a4ddd3e525b0faf467fa9f214511.jpeg
74,https://www.hindustantimes.com/world-news/us-news/wont-let-trump-win-incoming-canadian-pm-mark-carney-fires-back-at-unjustified-tariffs-and-51st-state-threats-101741564347766.html,'Won't let Trump win': Incoming Canadian PM Mark Carney fires back at 'unjustified' tariffs and 51st state threats - Hindustan Times,Hindustan Times,"Mar 10, 2025","Mark Carney, who is set to become Canada's next prime minister, has sharply criticized US President Donald Trump over his tariffs on Canadian goods and his...",https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2ea86b550293d48c017858a676750ca3ec2573a9ae1e61aeb0f.jpeg
75,https://www.cbc.ca/player/play/video/9.6671876,Why an Alberta economics professor says not to panic about tariffs,CBC,"Mar 4, 2025",A University of Alberta professor of economics says it may not be as bad as some people think. Travis McEwan explains.,https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2ea9048bdf0a3072959f8316d5a9c09218ea1bca5d7b866819c.jpeg
76,https://ca.style.yahoo.com/best-canadian-clothing--beauty-brands-25-canadian-products-to-stock-up-on-as-trumps-tariffs-take-effect-from-sneakers-to-anti-aging-cream-200044628.html,"Best Canadian clothing & beauty brands: 25+ Canadian products to stock up on as Trump's tariffs take effect, from sneakers to anti-aging cream",Yahoo Lifestyle Canada,"Mar 4, 2025","25+ Canadian products to stock up on as Trump's tariffs take effect, from sneakers to anti-aging cream. Shop Aritzia, Lululemon, MAC Cosmetics and more Canada-...",https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2ea7dbb34a0c2c15ab483325c58d648d4a72275bb98d5c714c2.jpeg
77,https://table.media/en/china/news-en/after-us-tariffs-beijing-threatens-with-countermeasures,After US tariffs: Beijing threatens with countermeasures,Table.Media,"Mar 2, 2025","Following Trump's announcement of higher tariffs on Chinese goods, Beijing threatens to take countermeasures. Beijing declared the accusation of fentanyl...",https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2ea74f36076f8a617903fc1f8e76ad7d5a9bcbf2189b553e76f.jpeg
78,https://www.afr.com/policy/economy/lower-tariff-for-australia-in-next-trump-plan-20250317-p5lk0u,Lower tariff for Australia in next Trump plan,AFR,"Mar 17, 2025",Lower tariff for Australia in next Trump plan ... Australia faces a potential tariff of between 2 per cent and 8 per cent on the $30 billion of exports sold to...,https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2ea4c134daf266d9c99fb9ba46bdc97a22631a582719f26dc7a.jpeg
79,https://www.cbc.ca/player/play/video/9.6672035,Tariffs will raise prices on goods from around the world — not just the U.S.,CBC,"Mar 4, 2025","Tariffs will raise prices on goods from around the world — not just the U.S. ... Canadian shoppers will soon pay more for items from around the world, experts say...",https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2ea1ca4352557967b43acfe4ff4c8d0e6847df5d31c8bb30d2a.jpeg
80,https://www.cbc.ca/player/play/video/9.6670872,When will Canada see the impact of U.S. tariffs? This expert says ‘immediately’,CBC,"Mar 4, 2025",Metro Morning's David Common spoke with an economics professor about the wide-ranging impacts Canada can expect from US tariffs.,https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2eaf4249ba88428535d695d8825d821b9478dbe6d911cd7fab5.jpeg
81,https://www.news18.com/world/please-explain-to-governor-trudeau-trump-vows-further-tariffs-for-canada-retaliation-9249839.html,'Please Explain To Governor Trudeau...': Trump Vows Further Tariffs For Canada Retaliation,News18,"Mar 5, 2025","“Please explain to Governor Trudeau, of Canada, that when he puts on a Retaliatory Tariff on the U.S., our Reciprocal Tariff will immediately increase by a like...",https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2eaae07ad684cbf049e8e806052856bbbd378ca660181b81ab6.jpeg
82,https://www.rnz.co.nz/news/what-you-need-to-know/556284/what-you-need-to-know-about-how-countries-apply-tariffs-and-what-the-us-proposals-mean-for-nz,"What you need to know about how countries apply tariffs, and what the US' proposals mean for NZ",RNZ,"Mar 27, 2025",A base tariff of 10 percent will be imposed on all foreign imports - including from New Zealand - with rates between 20 and 50 percent for countries judged to...,https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2ea6753707f2e442532bf0fb32998befe8bf0008df8730fbac8.jpeg
83,https://www.cbc.ca/player/play/video/9.6670894,New Brunswick Premier Susan Holt reveals tariffs action plan,CBC,"Mar 4, 2025","New Brunswick Premier Susan Holt reveals tariffs action plan ... From internal trade to the seafood sector, here's how the provincial government is responding to...",https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2ea881ab02349c056728ef16bcac1d793cb3f4e05bfb3ade906.jpeg
84,https://www.bbc.co.uk/news/live/cly412xwz44t,Canada tariffs updates: White House halts plan to double tariffs on Canadian steel and aluminium,BBC,"Mar 11, 2025","Summary · White House officials say the US will impose 25% tariffs on Canadian steel and aluminium, rather than the 50% Donald Trump announced earlier · The...",https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2ea4eac15f7ffca8b96845e11776c69c5dfcd725afb1a64665e.jpeg
85,https://www.hindustantimes.com/world-news/us-news/canada-retaliates-against-donald-trump-announces-tariffs-need-to-fight-nonsense-101741794750548.html,"Canada retaliates against Donald Trump, announces tariffs: 'Need to fight nonsense' - Hindustan Times",Hindustan Times,"Mar 13, 2025",Canadian finance minister Dominic LeBlanc said the retaliatory measures will target US steel and aluminium products as well as consumer items such as computers...,https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2ea56ce5a36fcc402c3668579cd5d0c03cf3265313e1852b1b5.jpeg
86,https://www.bbc.co.uk/news/live/cvgpdk4257zt,Trump tariffs live updates: Trudeau hits out at 'dumb' tariffs as Trump warns of further hikes against Canada,BBC,"Mar 4, 2025","Trudeau denounced the tariffs as a “dumb thing to do”, and accused the president of sparking a “trade war” against its closest ally.",https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2eae4ccaf0e7d94deea25ddf885b40811677448192d74554d7e.jpeg
87,https://www.bbc.co.uk/news/live/cy4v0x27jrpt,Trump pauses some Canada and Mexico tariffs until next month,BBC,"Mar 6, 2025",Some of the sweeping 25% tariffs which US President Donald Trump imposed on Mexico and Canada just a few days ago will now be suspended until next month.,https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2ea851f1e9ebe37b254d5e8fff29fcb344760fce32f8b49a8fb.jpeg
88,https://www.cbc.ca/player/play/video/9.6671607,Economics expert explains the U.S. tariff impact on Canadians,CBC,"Mar 4, 2025","Moshe Lander, a senior lecturer in economics at Concordia University, explains how U.S. tariffs might impact Canadians' wallets and housing prices. If you have...",https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2eabd3050fba9a2a7544be9c926139ecd24cb58e4d253de75c1.jpeg
89,https://www.cbc.ca/player/play/video/9.6670693,Stock markets fall as sweeping U.S. tariffs take effect,CBC,"Mar 4, 2025","CBC's Peter Armstrong breaks down how stock markets responded as US President Donald Trump's sweeping tariffs on Canada, Mexico and China went into effect.",https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2ea0b95e7638eafcc741d83609dc3d1a1304d9ac2d54bb2880a.jpeg
90,https://www.cbc.ca/player/play/video/9.6671438,How could Alberta be impacted by U.S. tariffs?,CBC,"Mar 4, 2025",Alberta Premier Danielle Smith said Tuesday that U.S. tariffs are 'an unjustifiable economic attack on Canadians and Albertans' that represent a clear breach of...,https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2eacbdc89009ed35b7c52037d1aa14ca09b81a7a650d361eaaf.jpeg
91,https://www.cbc.ca/player/play/video/9.6671059,Toronto residents react to tariff trade war,CBC,"Mar 4, 2025","Toronto residents react to tariff trade war ... From concerns over the cost of goods to vows against American-made products, Toronto residents share their...",https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2eabd041ca40fa02dba308ba235509af422406eba01fafdd977.jpeg
92,https://www.cbc.ca/player/play/video/9.6673570,How Alberta is responding to U.S. tariffs,CBC,"Mar 5, 2025",How Alberta is responding to U.S. tariffs ... Alberta is joining other provinces with measures designed to respond to U.S. tariffs. That includes halting the sale...,https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2ea3fccc8a9d4d1eaade11c3d70976287dd08d939592cadc55b.jpeg
93,https://www.cbc.ca/player/play/video/9.6706140,How much could car prices rise in Canada during a tariff war?,CBC,"Apr 1, 2025","Automotive industry experts say prices for many cars may rise significantly, although there are models that may not be affected.",https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2ea48ddbd31735537ec07f2cc36f934a54bab7455085130c113.jpeg
94,https://www.ctvnews.ca/business/article/trump-called-canada-a-tariff-abuser-does-ottawa-mistreat-american-importers/,Trump called Canada a ‘tariff abuser.’ Does Ottawa mistreat American importers?,CTV News,"Mar 12, 2025","Trump incensed by global response to U.S. tariffs. U.S. President Donald Trump continues to single out Canada as a bad trading partner, claiming in a recent...",https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2eaa0bc8c84433bf8ea12a3b2f8c9ed72a82c4c1b29782842a8.jpeg
95,https://www.cbc.ca/player/play/video/9.6669491,"Ford promised almost $20B to fight tariffs. Now he needs to be ready to spend it, experts say",CBC,"Mar 3, 2025",Experts say Doug Ford will need to be ready to kick start his multi-billion-dollar stimulus package promised during his election campaign.,https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2ea944a8f11e6ec6f56749871700e8a315de5d2fdfbaf87fb94.jpeg
96,https://www.cbc.ca/player/play/video/9.6671942,Tariffs could force Canadian automakers to shut down within a week,CBC,"Mar 4, 2025",Tariffs could force Canadian automakers to shut down within a week ... Canada's auto manufacturers are preparing to make tough decisions as U.S. tariffs are...,https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2ea6381937c8baa12177c933e75c6221f243cd92cad155bb0d3.jpeg
97,https://www.cbc.ca/player/play/video/9.6669972,Prince Edward Island industries brace for pain on eve of U.S. tariffs,CBC,"Mar 3, 2025",Prince Edward Island industries brace for pain on eve of U.S. tariffs ... The ongoing tariff threat from U.S. President Donald Trump has created a lot of...,https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2eaa0f36fbf88d6be93a0437d3206752f2ce386d85773140c97.jpeg
98,https://ca.style.yahoo.com/dear-canada-are-we-ok-yahoo-canada-wants-you-to-weigh-in-on-politics-tariffs-trump-and-how-youre-coping-212136844.html,"Dear Canada: Are we OK? Yahoo Canada wants you to weigh in on politics, tariffs, Trump and how you're coping",Yahoo Lifestyle Canada,"Mar 4, 2025","We wanted to check in with Canadians and learn how you're feeling about tariffs, Trump and how current affairs are impacting your mental health.",https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2ea6a47d8cd3d779c4746fd3e9166100435da32f54c699195f9.jpeg
99,https://www.cbc.ca/player/play/video/9.6670460,"'Absolutely stunning' tariffs require strong retaliation, says Business Council of Canada",CBC,"Mar 4, 2025","'Absolutely stunning' tariffs require strong retaliation, says Business Council of Canada ... Goldy Hyder, president and CEO of the Business Council of Canada,...",https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2ea1d4c7d82a7c28c26c487659944841e26dc9b48cada4dcd68.jpeg
100,https://www.telegraphindia.com/world/if-war-is-what-the-us-wants-chinese-foreign-ministry-spokesperson-after-donald-trump-tariffs-kick-in/cid/2087149,‘If war is what the US wants’: Chinese foreign ministry spokesperson after Trump tariffs kick in,Telegraph India,"Mar 5, 2025","Beijing warns: 'Intimidation does not scare us. Bullying does not work on us. Pressuring, coercion or threats are not the right way of dealing with China'.",https://serpapi.com/searches/688ca5244a0898099eb6b335/images/df34c33f825af2eae5a4ccf4f52da0acb7be1c50436e846fc8b0991c16a3672b.jpeg
1,https://unherd.com/2025/03/is-trump-engineering-a-crash/?lang=us,Is Trump engineering a crash? American exceptionalism was an illusion,UnHerd,"Mar 12, 2025",Will a trade war make America great again? Not if you listen to most economists. Conventional theory argues that tariffs raise prices and therefore reduce...,https://serpapi.com/searches/688ca5282713327c081f3991/images/402d0f0cdeb1d8af9eb67c3ca9e31a55239b98a52d9e0e93291187fd7f4d41c0.jpeg
2,https://www.cbc.ca/player/play/video/9.6669613,Here we go again: What potential U.S. tariffs could mean for Canadians,CBC,"Mar 3, 2025",More Like This · Trump threatens 35% tariffs. Should Canada take it seriously? · Trump threatening 35% tariffs on Canadian goods across the board · Is a 15%...,https://serpapi.com/searches/688ca5282713327c081f3991/images/402d0f0cdeb1d8af50c71b99fd4f74e85791fa72d8be46eca56f0b3d080a602c.jpeg
3,https://www.hindustantimes.com/india-news/trump-says-time-to-get-back-at-countries-that-used-tariffs-against-the-us-101741156012781.html,Trump says time to get back at countries that used tariffs against the US,Hindustan Times,"Mar 5, 2025","President Donald Trump has said countries have used tariffs against them for decades, and now it is their turn, citing high duties countries such as India,...",https://serpapi.com/searches/688ca5282713327c081f3991/images/402d0f0cdeb1d8afe37a3a3efb613151e3a509b646d0ddf370ac391576e3ea86.jpeg
4,https://www.cbc.ca/player/play/video/9.6670325,"Auto manufacturing, agriculture brace for tariff impact",CBC,"Mar 3, 2025","All of its industries, from auto manufacturing to agriculture are bracing for major setbacks once US tariffs are imposed.",https://serpapi.com/searches/688ca5282713327c081f3991/images/402d0f0cdeb1d8af9c96f4b71ee9e81cd19c8ebf3d2db61c7edcc5fb44bfd41b.jpeg
5,https://www.hindustantimes.com/india-news/agriculture-key-focus-in-early-india-us-trade-talks-101741285755988.html,Agriculture key focus in early India-US trade talks,Hindustan Times,"Mar 7, 2025",A NITI Aayog report assessing the likely impacts of the proposed reciprocal tariffs determined that the tweaks to duties must be done “for our own” benefit...,https://serpapi.com/searches/688ca5282713327c081f3991/images/402d0f0cdeb1d8af963d2b7c01b5a6a0616a489ea8072042165ab4cf8258298c.jpeg
6,https://www.ctvnews.ca/kitchener/article/ontario-wool-producers-focused-on-the-positive-amid-us-tariff-threat/,Ontario wool producers focused on the positive amid U.S. tariff threat,CTV News,"Mar 6, 2025",Ontario wool producers focused on the positive amid U.S. tariff threat ... Why are wool producers in Canada facing an uncertain future? CTV's Ashley Bacon finds...,https://serpapi.com/searches/688ca5282713327c081f3991/images/402d0f0cdeb1d8af638be72b0d0b70bc5b9714e273d93e7ded20c00f7cee71aa.jpeg
7,https://www.hindustantimes.com/world-news/us-news/donald-trumps-shrill-narrative-costs-us-canadian-tourism-dollars-travel-bookings-plummet-101741777553628.html,Donald Trump's shrill narrative costs US Canadian tourism dollars; travel bookings plummet - Hindustan Times,Hindustan Times,"Mar 12, 2025",The US travel association estimated that a 10% drop in Canadian travellers could cost $2.1 billion in consumer spending. US President Donald Trump imposed...,https://serpapi.com/searches/688ca5282713327c081f3991/images/402d0f0cdeb1d8afb2d0ce2386b93f5e5593448241e2dd30542240866d93b905.jpeg
8,https://www.cbc.ca/player/play/video/9.6672053,The Breakdown | Defending against Trump’s trade war,CBC,"Mar 5, 2025","As U.S. President Donald Trump ignites an unprecedented trade war, The National breaks down what's behind his shifting rhetoric, how Canada is responding...",https://serpapi.com/searches/688ca5282713327c081f3991/images/402d0f0cdeb1d8afb7c6ca292de14c090b259128f5c00f8859856a777e709a74.jpeg
9,https://www.telegraphindia.com/world/donald-trump-claims-india-will-cut-tariffs-says-somebody-is-finally-exposing-them/cid/2087763,"Donald Trump claims India will cut tariffs, says 'somebody is finally exposing them'",Telegraph India,"Mar 8, 2025","Donald Trump calls India a 'very high tariff nation', reciprocal tariffs to begin April 2. test. It has raised concerns among exporters in industries such as...",https://serpapi.com/searches/688ca5282713327c081f3991/images/402d0f0cdeb1d8af051458d27efb1e48fe98d692afa54e30708d5b8fef41ffee.jpeg
10,https://www.cbc.ca/player/play/video/9.6677289,"Ottawa to ease EI rules, provide $6B for businesses hit by U.S. tariffs",CBC,"Mar 7, 2025","The federal government has announced it will loosen some employment insurance rules, and provide $6 billion in support for businesses impacted by the U.S.-...",https://serpapi.com/searches/688ca5282713327c081f3991/images/402d0f0cdeb1d8afc2ff5387c6c758ab6e3a639556349ab42301b074a2e1c870.jpeg
11,https://www.hindustantimes.com/india-news/india-open-to-rationalising-agriculture-sector-tariffs-officials-101741284734035.html,India open to rationalising agriculture sector tariffs: Officials,Hindustan Times,"Mar 7, 2025","India open to rationalising agriculture sector tariffs: Officials · The weighted average agricultural tariff levied by India is 37.66% versus 2.59% of US,...",https://serpapi.com/searches/688ca5282713327c081f3991/images/402d0f0cdeb1d8af53c476e26aed46a01825a23ed1a67437c5d899e1123518fc.jpeg
12,https://www.cbc.ca/player/play/video/9.6671449,People in Ottawa make their voices heard over tariffs,CBC,"Mar 5, 2025",People in Ottawa make their voices heard over tariffs ... CBC's Natalia Goodwin spoke to residents who gathered at a rally outside the U.S. Embassy. She also...,https://serpapi.com/searches/688ca5282713327c081f3991/images/402d0f0cdeb1d8afa60caff460518b4d2db0479f940cb1a8555f5649f40f9275.jpeg
